City Name,Country Name,Country Official Name,Country Code,Target Lat,Target Long,Grid Lat,Grid Long,Actual Lat,Actual Long,In Target Grid Area,Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather Description,Weather Icon URL
Vaini,Tonga,Kingdom of Tonga,TO,-87.40302289348944,-178.6226958559754,-90.0,-180.0,-21.2,-175.2,False,75.2,88.0,90.0,12.75,130.0,overcast clouds,http://openweathermap.org/img/w/04n.png
Rikitea,French Polynesia,French Polynesia,PF,-90.0,-137.39291677746445,-90.0,-138.0,-23.12,-134.97,False,71.38,100.0,92.0,3.6,138.001,light rain,http://openweathermap.org/img/w/10d.png
Punta Arenas,Chile,Republic of Chile,CL,-90.0,-126.89991215492664,-90.0,-124.0,-53.16,-70.91,False,50.0,46.0,20.0,28.86,250.0,few clouds,http://openweathermap.org/img/w/02d.png
Ushuaia,Argentina,Argentine Republic,AR,-90.0,-88.96521437835709,-90.0,-89.0,-54.81,-68.31,False,44.6,70.0,75.0,34.45,230.0,shower rain,http://openweathermap.org/img/w/09d.png
Hermanus,South Africa,Republic of South Africa,ZA,-90.0,-8.711751551971638,-90.0,-12.0,-34.42,19.24,False,74.4,53.0,36.0,7.85,240.501,scattered clouds,http://openweathermap.org/img/w/03d.png
Bredasdorp,South Africa,Republic of South Africa,ZA,-90.0,12.474313420827118,-90.0,9.0,-34.53,20.04,False,80.6,47.0,88.0,24.16,300.0,light rain,http://openweathermap.org/img/w/10d.png
Kruisfontein,South Africa,Republic of South Africa,ZA,-90.0,29.083478947922604,-90.0,30.0,-34.0,24.73,False,69.09,77.0,0.0,18.14,251.001,clear sky,http://openweathermap.org/img/w/01d.png
Port Elizabeth,South Africa,Republic of South Africa,ZA,-86.9285083704329,34.286826459664645,-90.0,37.0,-33.92,25.57,False,73.4,73.0,75.0,19.46,230.0,broken clouds,http://openweathermap.org/img/w/04d.png
Port Alfred,South Africa,Republic of South Africa,ZA,-86.71610721825726,42.51878587404037,-90.0,44.0,-33.59,26.89,False,72.55,83.0,76.0,15.57,237.501,light rain,http://openweathermap.org/img/w/10d.png
Busselton,Australia,Australia,AU,-87.92535544055853,73.86588315231285,-90.0,72.0,-33.64,115.35,False,68.28,100.0,0.0,17.25,192.001,clear sky,http://openweathermap.org/img/w/01n.png
Albany,Australia,Australia,AU,-88.44616310594604,95.67630927783608,-90.0,93.0,-35.02,117.88,False,66.2,82.0,90.0,10.29,70.0,overcast clouds,http://openweathermap.org/img/w/04n.png
New Norfolk,Australia,Australia,AU,-88.74706264395073,122.62109352592665,-90.0,121.0,-42.78,147.06,False,60.8,48.0,20.0,14.99,280.0,few clouds,http://openweathermap.org/img/w/02n.png
Hobart,Australia,Australia,AU,-90.0,138.39724408441936,-90.0,135.0,-42.88,147.33,False,60.8,48.0,20.0,14.99,280.0,few clouds,http://openweathermap.org/img/w/02n.png
Bluff,New Zealand,New Zealand,NZ,-88.9373741990236,150.76233991403942,-90.0,149.0,-46.6,168.33,False,64.14,87.0,64.0,16.91,293.001,broken clouds,http://openweathermap.org/img/w/04n.png
Kaitangata,New Zealand,New Zealand,NZ,-88.2834177358912,180.0,-90.0,180.0,-46.28,169.85,False,68.23,64.0,32.0,15.46,291.501,scattered clouds,http://openweathermap.org/img/w/03n.png
Cape Town,South Africa,Republic of South Africa,ZA,-81.86847359584549,-11.828363829748076,-83.0,-12.0,-33.93,18.42,False,77.0,57.0,75.0,16.11,190.0,broken clouds,http://openweathermap.org/img/w/04d.png
East London,South Africa,Republic of South Africa,ZA,-76.93432478505231,54.8096171272967,-76.0,58.0,-33.02,27.91,False,71.6,83.0,75.0,17.22,230.0,broken clouds,http://openweathermap.org/img/w/04d.png
