City ID,City Name,Country Code,Actual Lat,Actual Long,Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,-21.2,-175.2,75.2,88.0,90.0,12.75
1,Rikitea,PF,-23.12,-134.97,71.38,100.0,92.0,3.6
2,Punta Arenas,CL,-53.16,-70.91,50.0,46.0,20.0,28.86
3,Ushuaia,AR,-54.81,-68.31,44.6,70.0,75.0,34.45
4,Hermanus,ZA,-34.42,19.24,74.4,53.0,36.0,7.85
5,Bredasdorp,ZA,-34.53,20.04,80.6,47.0,88.0,24.16
6,Kruisfontein,ZA,-34.0,24.73,69.09,77.0,0.0,18.14
7,Port Elizabeth,ZA,-33.92,25.57,73.4,73.0,75.0,19.46
8,Port Alfred,ZA,-33.59,26.89,72.55,83.0,76.0,15.57
9,Busselton,AU,-33.64,115.35,68.28,100.0,0.0,17.25
10,Albany,AU,-35.02,117.88,66.2,82.0,90.0,10.29
11,New Norfolk,AU,-42.78,147.06,60.8,48.0,20.0,14.99
12,Hobart,AU,-42.88,147.33,60.8,48.0,20.0,14.99
13,Bluff,NZ,-46.6,168.33,64.14,87.0,64.0,16.91
14,Kaitangata,NZ,-46.28,169.85,68.23,64.0,32.0,15.46
15,Cape Town,ZA,-33.93,18.42,77.0,57.0,75.0,16.11
16,East London,ZA,-33.02,27.91,71.6,83.0,75.0,17.22
17,Avarua,CK,-21.21,-159.78,82.4,88.0,75.0,11.41
18,Mar Del Plata,AR,-46.43,-67.52,61.26,43.0,0.0,8.19
19,Cidreira,BR,-30.17,-50.22,87.27,76.0,20.0,7.18
20,Saint-Philippe,RE,-21.36,55.77,80.69,78.0,56.0,17.22
21,Souillac,MU,-20.52,57.52,80.6,83.0,40.0,9.17
22,Castro,CL,-42.48,-73.76,53.6,62.0,75.0,3.36
23,Chuy,UY,-33.69,-53.46,78.54,91.0,36.0,13.44
24,Arraial Do Cabo,BR,-22.97,-42.02,89.6,43.0,20.0,11.41
25,Tuatapere,NZ,-46.13,167.69,65.53,75.0,8.0,16.58
26,Dunedin,NZ,-45.87,170.5,65.22,68.0,24.0,7.07
27,Comodoro Rivadavia,AR,-45.87,-67.48,64.4,23.0,75.0,8.05
28,Rawson,AR,-43.3,-65.11,67.2,28.0,0.0,13.11
29,Jamestown,SH,-15.94,-5.72,72.33,100.0,32.0,13.11
30,Margate,ZA,-30.86,30.37,82.36,84.0,36.0,9.19
31,Mahebourg,MU,-20.41,57.7,80.6,83.0,40.0,9.17
32,Esperance,AU,-33.86,121.89,64.4,93.0,90.0,12.75
33,Mount Gambier,AU,-37.83,140.78,62.6,77.0,90.0,6.93
34,Portland,AU,-33.35,149.98,63.1,84.0,0.0,2.26
35,Waitati,NZ,-45.75,170.57,65.22,68.0,24.0,7.07
36,Waipawa,NZ,-39.94,176.59,57.3,92.0,36.0,3.83
37,Ancud,CL,-41.87,-73.83,53.6,62.0,75.0,3.36
38,Lebu,CL,-37.62,-73.65,58.02,98.0,0.0,17.47
39,Neuquen,AR,-38.95,-68.06,78.8,31.0,0.0,8.05
40,Necochea,AR,-38.55,-58.74,83.58,63.0,12.0,12.21
41,Saldanha,ZA,-33.01,17.94,75.2,57.0,0.0,17.22
42,Bambous Virieux,MU,-20.34,57.76,80.6,83.0,40.0,9.17
43,Port Lincoln,AU,-34.72,135.86,62.25,100.0,0.0,9.64
44,Burnie,AU,-41.05,145.91,60.76,100.0,8.0,16.69
